sample	Acidilobales	Actinomycetales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Caldilineales	Campylobacterales	Caulobacterales	Clostridiales	Coriobacteriales	Cytophagales	Desulfovibrionales	Desulfurococcales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Gammaproteobacteria_incertae_sedis	Halanaerobiales	Hydrogenophilales	Lactobacillales	Methanobacteriales	Mycoplasmatales	Myxococcales	Neisseriales	Pasteurellales	Planctomycetales	Pseudomonadales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodospirillales	Selenomonadales	Sphingobacteriales	Sulfolobales	Synergistales	Syntrophobacterales	Thermales	Thermoproteales	Verrucomicrobiales	Xanthomonadales
r2_B4	1	54	1	38822	664	315	0	0	0	55426	1960	0	1163	22	10	2640	0	0	0	0	0	13295	0	0	0	0	4	0	0	0	13	1	0	61	9	0	0	0	0	0	3392	0
r2_B40	1	16	0	20630	169	578	0	0	0	26854	571	0	541	8	114	624	0	0	0	0	0	2477	0	0	0	0	0	0	0	0	4	0	0	34	3	0	0	0	0	0	1	0
r2_B41	1	18	0	23632	179	619	0	0	0	32195	591	0	614	9	142	605	0	0	0	0	0	2769	0	0	0	0	0	0	0	1	6	0	0	32	8	0	0	0	0	0	2	0
r2_B42	3	3	0	16036	185	559	0	0	0	36098	722	0	382	17	2	288	0	0	0	0	0	899	0	0	1	0	0	0	0	3	6	0	0	42	2	0	0	1	0	0	79	0
r2_B43	4	9	1	16931	241	242	0	0	0	35590	1868	0	258	15	56	378	0	0	0	0	0	3586	0	0	0	0	0	0	0	2	6	0	0	56	2	0	0	0	0	0	620	0
r2_B44	3	13	1	21917	277	243	0	0	0	34065	2281	0	353	20	68	555	0	0	0	0	0	4041	0	0	0	0	0	0	0	0	13	0	0	113	10	0	0	0	0	0	750	0
r2_B45	0	19	0	14726	155	420	0	0	0	41848	1138	0	149	17	4	540	0	0	0	0	0	1789	0	0	0	0	0	0	0	0	11	0	0	130	17	0	0	0	0	0	2655	0
r2_B46	4	48	1	11518	424	451	0	0	0	79489	2286	0	137	30	4	832	0	0	0	0	0	3202	0	0	0	0	0	0	0	2	10	0	0	172	10	0	0	0	0	0	5094	0
r2_B47	0	17	0	44361	276	1979	0	0	0	32694	759	0	2061	18	0	2308	0	0	0	0	0	3073	0	0	0	0	0	0	0	9	9	0	0	40	6	0	0	0	0	0	6811	0
r2_B5	0	78	0	36849	1533	443	0	0	0	64249	1503	0	1078	35	4	2148	0	0	0	0	0	17267	0	0	0	0	9	0	0	5	19	0	0	122	20	0	1	0	0	0	2543	0
r2_B6	0	84	3	26203	1893	181	0	0	0	47071	1653	0	1120	22	2	1522	1	0	0	0	0	21617	0	0	0	0	9	0	0	2	7	0	0	45	6	0	0	0	0	0	4497	0
r2_B7	1	67	1	21863	2113	132	0	0	0	35123	1897	0	982	10	1	1195	0	0	0	0	0	19159	1	0	0	0	5	0	0	0	7	0	0	65	3	0	0	0	0	0	3970	0
r2_B8	3	59	1	24388	1578	178	0	0	0	38282	774	0	713	10	0	1136	0	0	0	0	0	14319	0	0	0	0	4	0	1	0	6	0	0	66	9	0	0	0	0	0	993	0
r2_B9	1	53	2	24521	2644	233	0	0	0	45776	1469	0	913	14	321	1223	0	0	0	0	0	17177	1	0	0	0	9	0	11	3	10	1	0	48	7	0	0	0	0	1	1428	0
r2_C1	1	280	47	6045	15	208	0	0	0	74901	3293	0	0	21	181	4958	0	0	0	0	0	3514	0	0	0	0	1	0	0	0	25	0	0	29	19	0	0	0	0	1	8	0
r2_C10	1	37	9	11806	52	11	0	0	0	30556	586	0	0	8	46	873	0	0	0	0	0	3774	0	0	0	0	6	0	2	1	18	0	0	280	17	0	0	0	0	0	7	0
r2_C11	0	27	16	8186	13	6	0	2	0	25587	723	0	0	6	150	817	0	0	0	0	0	2362	0	0	0	0	2	1	0	0	3	0	0	207	3	0	0	0	0	0	0	0
r2_C12	1	12	4	2040	17	44	0	0	0	21213	1012	0	0	12	10	711	0	0	0	0	0	1988	0	0	0	0	0	0	0	0	23	0	0	151	17	0	0	0	0	0	9	0
r2_C13	0	10	2	563	17	24	0	0	0	10333	439	0	0	4	3	322	0	0	0	0	0	213	0	0	0	0	1	0	0	0	12	0	0	22	8	0	0	0	0	0	1	0
r2_C14	1	42	3	1912	8	61	0	0	0	20490	531	0	0	5	9	910	0	0	0	0	0	4934	0	0	0	0	0	0	0	0	14	0	0	33	6	0	0	0	0	0	3	0
r2_C15	1	56	5	4433	8	123	0	0	0	34914	1384	0	0	12	13	2070	0	0	0	0	0	1310	0	0	0	0	0	1	0	0	10	1	0	15	18	0	0	0	0	0	4	0
r2_C16	0	9	3	1282	1	16	0	0	0	9400	240	0	0	2	4	679	0	0	0	0	0	440	0	0	0	0	0	0	4	0	3	0	0	13	4	0	0	0	0	0	3	0
r2_C17	0	37	5	882	455	5	0	0	0	18712	436	0	0	1	12	556	0	0	0	0	0	2212	0	0	0	0	0	0	0	0	3	0	0	19	2	0	0	0	0	0	2	0
r2_C18	0	71	9	1158	863	17	0	0	0	33823	491	0	0	10	2356	788	0	0	0	0	0	4704	0	0	0	1	0	0	0	0	3	0	0	31	4	0	0	0	0	0	2	0
r2_C19	0	60	10	130	1241	18	0	0	0	22058	588	0	0	7	1	2625	0	0	0	0	0	1357	1	0	0	0	0	0	0	0	3	0	0	2	4	0	0	0	0	0	0	0
r2_C2	0	290	53	8995	17	320	0	1	0	52754	3510	0	0	15	168	5523	0	0	0	0	0	2053	0	0	0	0	0	0	0	0	20	0	0	94	18	0	0	0	0	0	8	0
r2_C20	0	98	17	1626	3438	144	0	0	0	45190	1862	0	0	16	35	8253	0	0	0	0	0	2510	0	0	0	0	0	1	0	0	16	0	0	16	15	0	0	0	0	0	3	0
r2_C21	2	40	4	2555	577	39	0	0	0	41820	793	0	3	17	417	1310	0	0	0	0	0	934	0	0	0	0	0	0	0	0	26	0	0	88	16	0	0	0	0	0	5	0
r2_C22	0	50	9	4053	137	119	0	0	0	46931	980	0	0	10	113	2064	0	0	0	0	0	1552	0	0	0	0	1	0	0	0	9	0	0	200	1	0	0	0	0	0	1	0
r2_C23	0	61	14	4351	999	141	0	0	0	44195	842	0	0	11	719	1564	0	0	0	0	0	3242	0	0	0	0	1	0	1	0	7	0	0	476	12	0	0	0	0	0	9	0
r2_C24	1	50	7	3220	176	153	0	0	0	28478	360	0	0	9	175	554	0	0	0	0	0	2017	0	0	0	0	2	0	1	0	7	0	0	190	3	0	0	0	0	0	3	0
r2_C25	1	11	2	974	145	23	0	0	0	9673	208	0	3	29	25	248	2	0	0	0	0	354	0	0	0	0	0	1	0	0	74	1	0	70	50	0	0	0	0	0	29	0
r2_C26	0	52	5	2769	1195	46	0	0	0	19730	544	0	0	3	180	715	0	0	0	0	0	639	0	0	0	0	0	0	0	0	6	0	0	135	1	0	0	0	0	0	1	0
r2_C27	0	59	10	3324	1092	28	0	0	0	31588	750	0	0	5	23	1180	0	0	0	0	0	1659	0	0	0	0	0	0	0	0	9	0	0	26	3	0	0	0	0	0	5	0
r2_C28	2	57	7	2923	410	94	0	0	0	44595	1222	0	2	14	111	1540	0	0	0	0	0	994	0	0	0	0	0	0	1	0	21	0	0	102	17	0	0	0	0	0	3	0
r2_C29	0	125	9	998	241	21	0	0	0	36668	1289	0	0	10	191	1814	0	0	0	0	0	1025	0	0	0	0	0	0	0	1	9	0	0	32	6	0	0	0	0	0	0	0
r2_C3	0	353	39	13663	361	489	0	0	0	55047	2818	0	1	11	483	4183	0	0	0	0	0	5534	0	0	0	0	2	0	0	0	18	0	0	174	8	0	0	0	0	0	4	0
r2_C30	1	14	3	4238	520	86	0	0	0	20712	538	0	0	13	110	415	0	0	0	0	0	514	0	0	0	0	0	1	0	0	4	0	0	49	3	0	0	0	0	0	1	0
r2_C31	0	151	3	1321	751	13	0	1	0	21923	911	0	0	4	354	661	0	0	0	0	0	1147	0	0	0	0	0	0	0	0	6	0	0	8	7	0	0	0	0	0	3	0
r2_C32	0	57	5	2970	1158	55	0	0	0	41862	1009	0	0	12	2445	1012	0	0	0	0	0	1998	0	0	0	0	0	0	0	0	8	0	0	32	2	0	0	0	0	0	0	0
r2_C33	0	84	2	4542	1325	255	0	0	0	39172	711	0	0	11	276	1147	0	0	0	0	0	1799	0	0	0	0	0	1	0	0	9	0	0	110	4	0	0	0	0	0	2	0
r2_C4	0	82	7	3552	13	69	0	0	0	16621	919	0	1	4	40	1392	0	0	0	0	0	2150	0	0	1	0	2	0	0	0	10	0	0	10	3	0	0	0	0	0	1	0
r2_C5	1	79	12	3240	14	135	0	0	0	12960	1147	0	1	4	12	797	0	0	0	0	0	1820	0	0	0	0	0	0	0	0	22	0	0	15	4	0	0	0	0	0	8	0
r2_C6	0	116	13	6621	32	56	0	0	0	30921	739	0	0	21	78	1843	0	0	0	0	0	4725	1	0	0	0	0	0	0	0	33	0	0	37	34	0	0	0	0	0	8	0
r2_C7	1	243	41	11327	14	531	0	0	0	68720	2101	0	0	12	25	4467	0	0	0	0	0	2084	0	0	0	0	10	0	0	0	11	0	0	62	7	0	0	0	0	0	2	0
r2_C8	0	38	22	15921	194	44	0	0	0	38842	422	0	0	5	5	844	0	0	1	0	0	6668	0	0	0	0	16	1	4	0	9	0	0	280	3	0	0	0	0	0	3	0
r2_C9	0	64	18	13061	127	15	0	0	0	40932	763	0	0	10	1279	1228	0	0	0	0	0	6247	0	0	0	1	13	0	398	0	10	0	0	343	7	0	0	0	0	0	3	0
