sample	Acidaminococcaceae	Acidilobaceae	Actinomycetaceae	Aerococcaceae	Alcaligenaceae	Bacillaceae 1	Bacillaceae 2	Bacillales_Incertae Sedis XI	Bacteroidaceae	Bacteroidales_incertae_sedis	Bifidobacteriaceae	Bradyrhizobiaceae	Brucellaceae	Burkholderiaceae	Caldilineaceae	Caldisphaeraceae	Campylobacteraceae	Carnobacteriaceae	Caulobacteraceae	Chitinophagaceae	Chloroplast	Clostridiaceae 1	Clostridiaceae 2	Clostridiaceae 3	Clostridiaceae 4	Clostridiales_Incertae Sedis XI	Clostridiales_Incertae Sedis XII	Clostridiales_Incertae Sedis XIII	Coriobacteriaceae	Corynebacteriaceae	Cyclobacteriaceae	Cytophagaceae	Defluviitaleaceae	Dermabacteraceae	Desulfohalobiaceae	Desulfovibrionaceae	Desulfurococcaceae	Dietziaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Flammeovirgaceae	Flavobacteriaceae	Fusobacteriaceae	Gracilibacteraceae	Halanaerobiaceae	Hydrogenophilaceae	Incertae Sedis XI	Kineosporiaceae	Labilitrichaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Marinilabiliaceae	Methanobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	Mycoplasmataceae	Neisseriaceae	Nocardiaceae	Nocardiopsaceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae 1	Peptococcaceae 2	Peptostreptococcaceae	Planctomycetaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Prolixibacteraceae	Propionibacteriaceae	Pseudomonadaceae	Puniceicoccaceae	Pyrodictiaceae	Rhodobacteraceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Sphingobacteriaceae	Sporolactobacillaceae	Staphylococcaceae	Streptococcaceae	Sulfolobaceae	Sutterellaceae	Synergistaceae	Syntrophobacteraceae	Syntrophomonadaceae	Thermaceae	Thermoproteaceae	Veillonellaceae	Verrucomicrobiaceae	Xanthomonadaceae
r1_B9	14	0	45	28	0	0	0	0	21440	0	2708	1	0	0	0	0	0	0	0	30	0	635	0	0	0	1	0	37	1529	3	0	0	0	0	0	929	0	0	325	1	1282	41	0	0	0	3	0	0	2	0	0	30578	117	0	7	0	1	0	3	0	0	0	0	0	0	0	9	0	0	10	0	0	4642	0	0	0	12	0	1	0	0	113	14749	0	0	0	17412	0	240	0	0	0	0	0	41	1454	0
r1_C1	8	0	226	75	0	1	0	44	4063	0	49	1	0	0	0	0	0	13	0	81	0	531	5	0	0	54	0	36	3372	7	0	0	0	0	0	1	0	0	186	2	5200	27	0	0	0	0	0	0	10	0	0	49379	14	0	2	0	0	0	48	0	0	0	0	0	0	0	1	50	0	1309	1	0	876	2	1	0	0	0	6	0	0	1211	23255	0	0	6	3498	0	213	0	0	0	0	0	34	28	0
r1_C10	4	0	31	62	0	0	0	7	10490	0	77	0	0	0	0	0	0	1	0	69	1	86	0	0	0	2	0	13	604	1	0	0	0	0	1	2	0	0	48	7	964	16	0	0	0	0	0	0	0	0	0	22183	7	0	99	0	0	0	6	0	0	0	0	0	0	0	6	382	0	286	0	0	981	1	0	0	2	0	0	0	0	496	7618	0	0	2	3671	0	11	0	0	0	0	0	286	16	0
r1_C11	3	0	20	24	0	0	0	14	7245	0	15	1	0	0	0	0	2	3	0	22	1	74	0	0	0	7	0	16	748	0	0	0	0	0	0	1	0	0	158	1	958	12	0	0	0	0	0	0	0	0	0	18199	12	0	119	0	0	0	5	0	0	0	0	0	0	0	2	248	0	296	0	0	699	0	0	0	0	0	0	0	0	433	7016	0	0	2	2272	0	6	0	0	0	0	0	210	6	0
r1_C12	5	0	10	65	0	0	0	5	1606	0	34	3	0	0	0	0	0	1	0	57	0	368	0	0	0	0	0	12	1057	1	0	0	0	0	0	0	0	0	11	0	794	4	0	0	0	0	0	0	0	0	0	16539	183	0	62	0	0	0	3	0	0	0	0	0	0	0	0	7	0	225	0	0	147	0	0	0	0	0	0	0	0	324	4376	0	0	0	1761	0	46	0	0	0	0	0	157	20	0
r1_C13	2	0	7	46	0	0	0	2	363	0	31	1	0	0	0	0	0	1	0	30	0	286	0	0	0	0	0	9	450	1	0	0	0	0	0	1	0	0	7	0	365	1	0	0	0	0	0	0	0	0	0	7831	15	0	24	0	0	0	1	0	0	0	0	0	0	0	1	2	0	59	0	0	73	0	0	0	0	0	2	0	0	132	2243	0	0	0	155	0	24	0	0	0	0	0	23	11	0
r1_C14	2	0	30	33	0	0	0	2	1274	0	17	3	0	0	0	0	0	2	0	56	0	43	0	0	0	0	0	4	554	1	0	0	0	0	0	0	0	0	9	1	963	4	0	0	0	0	0	0	0	0	0	15083	6	0	45	0	0	0	11	0	0	0	0	0	0	0	0	1	0	207	0	0	319	1	0	0	0	0	1	0	0	387	5730	0	0	1	4996	0	64	0	0	0	0	0	35	14	0
r1_C15	3	0	51	53	0	0	0	3	2642	0	24	1	0	0	0	0	0	3	0	28	0	150	1	0	0	2	0	32	1416	3	0	0	0	0	0	0	0	0	13	0	2179	9	0	0	0	0	0	0	0	0	0	22823	9	0	15	0	0	0	2	0	0	0	0	0	0	0	0	6	0	389	0	0	349	0	0	0	0	0	0	0	0	1535	11570	0	0	3	1273	0	129	0	0	0	0	0	16	8	0
r1_C16	3	0	4	3	0	0	0	2	902	0	4	2	0	0	0	0	0	2	0	8	0	154	1	0	0	4	0	2	243	0	0	0	0	0	0	1	0	0	5	0	708	4	0	0	0	0	0	0	1	0	0	6798	3	0	1	0	0	0	4	0	0	0	0	0	0	0	0	28	0	100	1	0	109	6	0	0	5	0	2	0	0	294	2360	0	0	1	446	0	16	0	0	0	0	0	14	3	0
r1_C17	1	0	32	3	0	0	0	5	659	0	473	1	0	0	0	0	0	1	0	4	2	28	0	0	0	4	0	8	451	1	0	0	0	0	0	0	0	0	12	1	573	3	0	0	0	0	0	0	0	0	0	14653	120	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	172	0	0	54	0	0	0	0	0	1	0	0	182	3860	0	0	0	2110	0	6	0	0	0	0	0	16	2	0
r1_C18	0	0	39	11	0	0	0	7	815	0	911	1	0	0	0	0	0	3	0	13	1	25	0	0	0	85	0	19	506	18	0	0	0	0	0	0	0	0	2445	13	854	7	0	0	0	0	0	0	9	0	0	27408	200	0	0	0	0	0	13	0	0	0	1	0	0	0	0	9	0	158	0	0	179	9	0	0	0	0	1	0	0	215	7066	0	0	2	4684	0	17	0	0	0	0	0	31	2	0
r1_C19	0	0	43	5	0	0	0	8	86	0	1281	0	0	0	0	0	0	1	0	10	0	199	8	0	0	1	0	14	600	2	0	0	0	0	0	0	0	0	1	2	2687	35	0	0	0	0	0	0	0	0	0	18383	60	0	6	0	0	0	14	0	0	0	0	0	0	0	0	0	0	388	0	0	29	0	0	0	0	0	2	0	0	15	2229	0	0	3	1311	0	19	0	0	0	0	0	2	5	0
r1_C2	12	0	249	59	0	0	0	47	6246	0	49	12	0	0	0	0	1	3	0	77	0	352	2	0	0	253	0	42	3572	6	0	0	0	0	0	1	0	0	173	2	5738	13	0	0	0	0	0	0	22	0	0	34481	10	0	0	0	0	0	42	0	0	0	0	0	0	0	0	537	0	830	0	1	1853	29	0	0	0	0	4	0	0	1011	16217	0	0	5	2032	0	322	0	0	0	0	0	106	29	0
r1_C20	2	0	78	34	0	0	0	7	1072	0	3531	1	0	0	0	0	0	2	0	39	0	250	14	0	0	7	0	63	1915	3	0	0	1	0	0	0	0	0	39	4	8497	100	0	0	0	0	0	0	0	0	0	33093	86	0	14	0	0	0	14	0	0	0	0	0	0	0	0	0	0	923	0	0	305	0	0	0	0	0	1	0	0	279	9060	0	0	9	2433	0	146	0	0	0	0	0	7	7	0
r1_C21	15	0	30	79	0	0	0	1	2185	0	613	12	0	0	0	0	0	1	0	78	0	65	53	0	0	9	0	22	836	5	0	0	0	0	0	6	0	0	434	1	1385	13	0	0	0	0	0	0	0	0	0	26675	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	2415	0	0	189	1	0	0	0	0	1	0	0	225	12619	0	0	3	897	0	40	0	0	0	0	0	88	29	0
r1_C22	8	0	32	25	0	0	0	7	3129	0	153	4	0	0	0	0	0	3	0	21	1	95	2	0	0	8	0	37	1005	3	0	0	0	0	0	0	0	0	116	0	2154	13	0	0	0	0	0	0	0	0	0	29905	35	0	1	0	0	0	15	0	0	0	0	0	0	0	1	0	0	403	0	1	213	0	0	0	0	0	1	0	0	764	16877	0	0	2	1515	0	122	0	0	0	0	0	208	5	0
