sample	Acidobacteria_Gp19	Acidobacteria_Gp21	Acidobacteria_Gp5	Acidobacteria_Gp9	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Caldilineae	Chloroplast	Clostridia	Cytophagia	Deinococci	Deltaproteobacteria	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Halobacteria	Methanobacteria	Mollicutes	Negativicutes	Opitutae	Planctomycetia	Sphingobacteriia	Subdivision5	Synergistia	Thermoprotei	Verrucomicrobiae
r1_35	0	0	0	0	7183	1581	3388	14854	357	0	1	78543	0	0	0	0	7545	0	0	106	0	0	0	10854	0	0	77	0	0	4	19
r1_36	0	0	0	0	9462	1576	1671	21879	537	0	2	90188	0	0	1	0	5761	0	0	50	0	0	0	9631	0	0	35	0	0	3	14
r1_37	0	0	0	0	204	16	246	473	7	0	0	2461	0	0	6	0	143	2	0	226	0	0	0	88	0	0	146	0	0	3	55
r1_38	0	0	0	0	10631	9	749	3993	13	0	1	43164	0	0	0	0	3647	0	0	13	0	0	0	11013	0	0	8	0	0	0	5
r1_39	0	0	0	0	12494	6	2622	5887	34	0	1	47468	0	0	0	0	3448	0	0	7	0	0	0	5997	0	0	19	0	0	1	2
r1_4	0	0	0	0	4561	6	6693	19774	74	0	1	31675	0	0	1	0	2036	0	0	14870	0	0	0	5409	0	0	12	0	0	0	4
r1_40	0	0	0	0	10274	8	1073	5040	69	0	1	37595	0	0	0	0	3435	0	0	23	0	0	0	5217	0	0	13	0	0	1	5
r1_41	0	0	0	0	5685	33	2525	10641	41	0	0	28083	0	0	1	0	2380	0	0	11	0	0	0	8057	0	0	8	0	0	0	2
r1_42	0	0	0	0	14735	83	2391	26454	100	0	8	85253	0	0	0	0	14720	0	0	33	0	0	0	6672	0	1	17	0	0	1	6
r1_43	0	0	0	0	11035	4	2150	1281	6	0	1	28987	0	0	0	0	5865	0	0	32	0	0	0	1118	0	0	12	0	0	0	5
r1_44	0	0	0	0	8497	5	981	1875	19	0	0	26173	0	0	7	0	1607	1	0	164	0	0	0	1254	0	0	122	0	0	11	51
r1_45	0	0	0	0	118	11	136	260	2	0	0	1422	0	0	2	0	85	3	0	136	0	0	0	45	0	1	116	0	0	10	27
r1_46	0	0	0	0	6266	9	1617	809	8	0	1	20529	0	0	4	0	1777	0	0	187	0	0	0	775	0	0	102	0	0	2	38
r1_47	0	0	0	0	11559	612	1763	16446	136	0	3	64573	0	0	0	0	5617	0	0	26	0	0	0	5201	0	0	20	0	0	1	3
r1_48	0	0	0	0	11645	486	8906	13003	132	0	1	69727	0	0	0	1	3599	0	0	62	0	0	0	8294	0	0	23	0	0	1	10
r1_49	0	0	0	0	18057	41	5994	5323	46	0	0	88854	0	0	0	0	15129	1	0	30	0	0	0	8396	0	0	18	0	0	1	2
r1_5	0	0	0	0	2751	1	7197	15261	277	0	0	26221	0	0	0	0	2557	0	0	663	0	0	0	4046	0	0	5	0	0	0	3
r1_50	0	0	0	0	7561	22	2634	13405	63	0	0	49978	0	0	2	0	5641	0	0	15	0	0	0	3371	0	0	9	0	0	1	2
r1_51	0	0	0	0	13575	88	877	11450	39	0	0	73403	0	0	0	0	6734	0	1	57	0	0	0	11478	0	0	38	0	0	3	7
r1_52	0	0	0	0	98	0	78	153	3	0	0	909	0	0	0	0	48	0	0	82	0	0	0	31	0	0	40	0	0	1	19
r1_53	0	0	0	0	6061	16	3629	8686	78	0	3	33367	0	0	0	0	2318	0	0	20	0	0	0	1252	0	0	12	0	0	0	3
r1_54	0	0	0	0	9556	39	2505	13490	87	0	1	40292	0	0	1	0	3928	0	0	23	0	0	0	1786	0	0	12	0	0	0	4
r1_55	0	0	0	0	8584	167	4213	16638	183	0	9	49251	0	0	0	0	4992	0	1	49	0	0	0	4219	0	0	37	0	0	5	11
r1_56	0	0	0	0	22619	11	1611	160	2	0	0	54620	0	0	1	0	12230	0	0	49	0	0	0	390	0	0	44	0	0	0	14
r1_57	0	0	0	0	4977	204	646	13248	240	0	3	35022	0	0	1	0	2865	0	0	17	0	0	0	4477	0	0	9	0	0	1	0
r1_58	0	0	0	0	190	34	175	415	8	0	0	2173	0	0	1	0	122	1	0	244	0	0	0	96	0	0	141	0	0	2	53
r1_59	0	0	0	0	8553	8	751	6667	67	0	0	27807	0	0	0	0	2064	0	1	20	0	0	0	3684	0	0	3	0	0	0	2
r1_6	0	0	0	0	2523	1	278	16572	282	0	0	34504	0	0	0	0	3530	0	0	15	0	0	0	3467	0	0	11	0	0	0	3
r1_60	0	0	0	0	34594	18	3405	15430	69	0	2	124348	0	0	2	0	12085	0	0	117	0	0	0	7064	0	0	39	0	0	1	14
r1_61	0	0	0	0	4603	151	4493	29749	310	0	8	65986	0	0	0	0	4124	0	0	70	0	0	0	3140	0	0	17	0	0	0	6
r1_63	0	0	0	0	9630	53	4176	21067	293	0	1	62753	0	0	0	0	3642	0	0	66	0	0	0	4494	0	0	16	0	0	2	10
r1_64	0	1	0	0	22877	5	5472	6049	37	0	7	65868	0	0	0	0	8163	0	0	65	0	0	0	788	0	0	11	0	0	3	14
r1_65	0	0	0	0	12691	52	1997	9251	123	0	3	47635	0	0	2	0	3288	0	0	104	0	0	0	2875	0	0	50	0	0	2	25
r1_66	0	0	0	0	4546	297	590	20453	241	0	0	45032	0	0	2	0	2749	0	0	16	0	0	0	3281	0	0	11	0	0	2	2
r1_67	0	0	0	0	8916	275	1221	8570	72	0	1	35947	0	0	0	0	2712	0	0	8	0	0	0	4782	0	0	8	0	0	1	4
r1_68	0	0	0	0	7676	34	1448	8638	100	0	0	42448	0	0	0	0	2577	0	0	12	0	0	0	3302	0	0	8	0	0	0	1
r1_7	0	0	0	0	430	9	492	1347	11	0	0	4264	0	0	1	0	153	1	0	108	0	0	0	393	0	1	82	0	0	2	37
r1_8	0	0	0	0	2781	2	8062	10804	165	0	1	37175	0	0	0	0	2559	0	0	17	0	0	0	5094	0	0	9	0	0	2	2
r1_9	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r1_B1	0	0	1	0	3506	3	1389	19604	281	0	0	56921	0	0	475	0	5784	0	0	359	0	0	0	41	0	0	94	0	0	2	6743
r1_B10	0	0	0	0	5893	3	3211	14807	5	0	1	32388	0	0	253	0	1153	0	0	25	0	0	0	9	0	1	28	0	0	1	1943
r1_B11	0	0	0	0	1595	1	5522	10732	223	0	0	19753	0	0	165	0	748	0	0	22	0	0	0	16	0	0	17	0	0	0	12
r1_B12	0	0	0	0	1835	1	3553	19297	799	0	0	46139	0	0	232	0	3288	0	0	61	0	0	0	61	0	0	17	0	0	1	20
r1_B13	0	0	0	0	1842	5	805	23997	458	0	1	45978	0	0	450	0	2392	1	0	117	0	0	0	39	0	0	49	0	0	3	3184
r1_B14	0	0	1	0	2955	6	1297	17258	556	0	0	54503	0	0	271	0	7531	0	0	108	0	0	0	114	0	2	77	0	0	7	369
r1_B15	0	0	0	0	3144	2	2798	25878	456	0	1	62354	0	0	167	0	7123	0	0	94	0	0	0	105	0	0	57	0	0	4	470
r1_B16	0	0	0	0	2227	2	755	15871	299	0	0	48823	0	0	305	0	2762	0	0	71	0	1	0	43	0	0	46	0	0	3	2899
r1_B17	0	0	0	0	566	2	6685	22684	338	0	4	32762	0	0	146	0	2263	0	1	82	0	0	0	278	0	0	28	0	0	1	695
